t,Qi(t),H(t)
0,"27,06909677",10
3,"27,06909677",10
6,"27,06909677",10
9,"27,06909677",10
12,"24,36218709",10
15,"24,36218709","9,898220686"
18,"24,36218709","9,799725529"
21,"24,36218709","9,704581499"
24,"24,36218709","9,612843977"
27,"24,36218709","9,524556072"
30,"24,36218709","9,439748086"
33,"24,36218709","9,358437153"
36,"24,36218709","9,280627051"
39,"24,36218709","9,206308208"
42,"24,36218709","9,135457896"
45,"24,36218709","9,068040601"
48,"24,36218709","9,004008577"
51,"24,36218709","8,943302553"
54,"24,36218709","8,88585258"
57,"24,36218709","8,831578994"
60,"24,36218709","8,780393473"
63,"24,36218709","8,732200149"
66,"24,36218709","8,686896769"
69,"24,36218709","8,644375864"
72,"24,36218709","8,604525896"
75,"24,36218709","8,567232389"
78,"24,36218709","8,532378992"
81,"24,36218709","8,499848482"
84,"24,36218709","8,469523684"
87,"24,36218709","8,441288311"
90,"24,36218709","8,415027696"
93,"24,36218709","8,39062945"
96,"24,36218709","8,367984002"
99,"24,36218709","8,346985072"
102,"24,36218709","8,32753003"
105,"24,36218709","8,309520197"
108,"24,36218709","8,292861056"
111,"24,36218709","8,277462398"
114,"24,36218709","8,263238409"
117,"24,36218709","8,250107702"
120,"24,36218709","8,237993305"
123,"24,36218709","8,226822606"
126,"24,36218709","8,216527269"
129,"24,36218709","8,207043122"
132,"24,36218709","8,198310024"
135,"24,36218709","8,190271716"
138,"24,36218709","8,182875659"
141,"24,36218709","8,176072864"
144,"24,36218709","8,169817721"
147,"24,36218709","8,16406782"
150,"24,36218709","8,158783771"
153,"24,36218709","8,153929037"
156,"24,36218709","8,149469756"
159,"24,36218709","8,145374578"
162,"24,36218709","8,141614504"
165,"24,36218709","8,138162727"
168,"24,36218709","8,134994489"
171,"24,36218709","8,13208694"
174,"24,36218709","8,129418999"
177,"24,36218709","8,126971233"
180,"24,36218709","8,124725734"
183,"24,36218709","8,122666011"
186,"24,36218709","8,12077688"
189,"24,36218709","8,11904437"
192,"24,36218709","8,117455629"
195,"24,36218709","8,115998838"
198,"24,36218709","8,114663131"
201,"24,36218709","8,113438524"
204,"24,36218709","8,112315842"
207,"24,36218709","8,111286657"
210,"24,36218709","8,11034323"
213,"24,36218709","8,109478455"
216,"24,36218709","8,108685808"
219,"24,36218709","8,1079593"
222,"24,36218709","8,107293436"
225,"24,36218709","8,106683175"
228,"24,36218709","8,106123888"
231,"24,36218709","8,105611333"
234,"24,36218709","8,105141617"
237,"24,36218709","8,104711168"
240,"24,36218709","8,104316713"
243,"24,36218709","8,103955248"
246,"24,36218709","8,103624021"
249,"24,36218709","8,103320506"
252,"13,53454839","8,103042389"
255,"13,53454839","7,450309644"
258,"13,53454839","6,747700687"
261,"13,53454839","5,988284866"
264,"13,53454839","5,168931099"
267,"13,53454839","4,304253163"
270,"13,53454839","3,469422124"
273,"13,53454839","2,854892407"
276,"13,53454839","2,587508962"
279,"13,53454839","2,517823006"
282,"13,53454839","2,503509945"
285,"13,53454839","2,500684037"
288,"13,53454839","2,500132257"
291,"13,53454839","2,500025421"
294,"13,53454839","2,500004869"
297,"13,53454839","2,500000932"
300,"13,53454839","2,500000179"
303,"27,06909677","2,500000036"
306,"27,06909677","5,021290166"
309,"27,06909677","5,912114497"
312,"27,06909677","6,48193776"
315,"27,06909677","6,900833474"
318,"27,06909677","7,230288096"
321,"27,06909677","7,500088103"
324,"27,06909677","7,727092016"
327,"27,06909677","7,921830185"
330,"27,06909677","8,091347484"
333,"27,06909677","8,240602181"
336,"27,06909677","8,373223051"
339,"27,06909677","8,491949702"
342,"27,06909677","8,598903481"
345,"27,06909677","8,69576192"
348,"27,06909677","8,783875348"
351,"27,06909677","8,864347341"
354,"27,06909677","8,93809174"
357,"27,06909677","9,005873996"
360,"27,06909677","9,068341778"
363,"27,06909677","9,126048025"
366,"27,06909677","9,179468594"
369,"27,06909677","9,229015952"
372,"27,06909677","9,275049945"
375,"27,06909677","9,317886357"
378,"27,06909677","9,357803789"
381,"27,06909677","9,395049237"
384,"27,06909677","9,429842658"
387,"27,06909677","9,462380731"
390,"27,06909677","9,492839992"
393,"27,06909677","9,521379442"
396,"27,06909677","9,548142758"
399,"27,06909677","9,573260155"
402,"27,06909677","9,596849977"
405,"27,06909677","9,619020054"
408,"27,06909677","9,639868878"
411,"27,06909677","9,659486609"
414,"27,06909677","9,677955956"
417,"27,06909677","9,695352941"
420,"27,06909677","9,711747565"
423,"27,06909677","9,727204402"
426,"27,06909677","9,741783109"
429,"27,06909677","9,755538889"
432,"27,06909677","9,768522894"
435,"27,06909677","9,780782587"
438,"27,06909677","9,792362061"
441,"27,06909677","9,803302329"
444,"27,06909677","9,813641583"
447,"27,06909677","9,823415422"
450,"27,06909677","9,832657063"
453,"27,06909677","9,841397528"
456,"27,06909677","9,849665819"
459,"27,06909677","9,857489065"
462,"27,06909677","9,864892669"
465,"27,06909677","9,871900433"
468,"27,06909677","9,878534673"
471,"27,06909677","9,884816331"
474,"27,06909677","9,890765065"
477,"27,06909677","9,896399345"
480,"27,06909677","9,901736528"
483,"27,06909677","9,906792942"
486,"27,06909677","9,911583946"
489,"27,06909677","9,916124002"
492,"27,06909677","9,920426727"
495,"27,06909677","9,924504954"
498,"27,06909677","9,928370776"
501,"32,48291613","9,932035598"
504,"32,48291613","10,13561832"
507,"32,48291613","10,32195661"
510,"32,48291613","10,49354285"
513,"32,48291613","10,65235699"
516,"32,48291613","10,79999976"
519,"32,48291613","10,93778482"
522,"32,48291613","11,06680435"
525,"32,48291613","11,18797681"
528,"32,48291613","11,30208234"
531,"32,48291613","11,40978952"
534,"32,48291613","11,51167593"
537,"32,48291613","11,60824414"
540,"32,48291613","11,69993428"
543,"32,48291613","11,78713413"
546,"32,48291613","11,87018713"
549,"32,48291613","11,94939902"
552,"32,48291613","12,02504319"
555,"32,48291613","12,09736515"
558,"32,48291613","12,16658621"
561,"32,48291613","12,23290662"
564,"32,48291613","12,29650817"
567,"32,48291613","12,3575564"
570,"32,48291613","12,41620252"
573,"32,48291613","12,472585"
576,"32,48291613","12,52683102"
579,"32,48291613","12,57905763"
582,"32,48291613","12,62937283"
585,"32,48291613","12,67787647"
588,"32,48291613","12,72466108"
591,"32,48291613","12,76981254"
594,"32,48291613","12,81341074"
597,"32,48291613","12,8555301"
600,"32,48291613","12,89624007"
603,"32,48291613","12,93560556"
606,"32,48291613","12,97368736"
609,"32,48291613","13,01054242"
612,"32,48291613","13,04622424"
615,"32,48291613","13,08078308"
618,"32,48291613","13,11426626"
621,"32,48291613","13,14671836"
624,"32,48291613","13,17818146"
627,"32,48291613","13,20869527"
630,"32,48291613","13,23829736"
633,"32,48291613","13,26702326"
636,"32,48291613","13,29490667"
639,"32,48291613","13,3219795"
642,"32,48291613","13,34827206"
645,"32,48291613","13,37381316"
648,"32,48291613","13,39863015"
651,"32,48291613","13,42274908"
654,"32,48291613","13,44619476"
657,"32,48291613","13,46899081"
660,"32,48291613","13,49115978"
663,"32,48291613","13,51272319"
666,"32,48291613","13,53370156"
669,"32,48291613","13,55411454"
672,"32,48291613","13,57398089"
675,"32,48291613","13,59331858"
678,"32,48291613","13,61214481"
681,"32,48291613","13,63047604"
684,"32,48291613","13,64832807"
687,"32,48291613","13,66571605"
690,"32,48291613","13,68265449"
693,"32,48291613","13,69915736"
696,"32,48291613","13,71523804"
699,"32,48291613","13,73090942"
702,"32,48291613","13,74618387"
705,"32,48291613","13,76107329"
708,"32,48291613","13,77558914"
711,"32,48291613","13,78974245"
714,"32,48291613","13,80354384"
717,"32,48291613","13,81700355"
720,"32,48291613","13,83013142"
723,"32,48291613","13,84293698"
726,"32,48291613","13,8554294"
729,"32,48291613","13,86761752"
732,"32,48291613","13,87950988"
735,"32,48291613","13,89111475"
738,"32,48291613","13,90244008"
741,"32,48291613","13,91349357"
744,"32,48291613","13,92428267"
747,"32,48291613","13,93481456"
750,"32,48291613","13,94509621"
753,"32,48291613","13,95513433"
756,"32,48291613","13,96493546"
759,"32,48291613","13,97450588"
762,"32,48291613","13,9838517"
765,"32,48291613","13,99297882"
768,"32,48291613","14,00189299"
771,"32,48291613","14,01059973"
774,"32,48291613","14,01910444"
777,"32,48291613","14,02741231"
780,"32,48291613","14,0355284"
783,"32,48291613","14,04345762"
786,"32,48291613","14,05120471"
789,"32,48291613","14,05877429"
792,"32,48291613","14,06617083"
795,"32,48291613","14,07339869"
798,"32,48291613","14,08046207"
801,"32,48291613","14,08736507"
804,"32,48291613","14,09411167"
807,"32,48291613","14,10070574"
810,"32,48291613","14,10715103"
813,"32,48291613","14,11345118"
816,"32,48291613","14,11960975"
819,"32,48291613","14,12563018"
822,"32,48291613","14,13151582"
825,"32,48291613","14,13726993"
828,"32,48291613","14,14289568"
831,"32,48291613","14,14839615"
834,"32,48291613","14,15377435"
837,"32,48291613","14,15903318"
840,"32,48291613","14,1641755"
843,"32,48291613","14,16920405"
846,"32,48291613","14,17412154"
